,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.4071044921875,10137.338989257812
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.682723999023438
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49144.05328774452
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.645012140274048
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.27134728432
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.74210953712
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.039386987686157
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.592243433
8,2019-04-30,SELL,NVDA,18473,4.451748371124268,227104.7399032116
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.25993037223816
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.95110869408
11,2019-05-31,BUY,NVDA,38293,3.4572558403015137,66088.25321602821
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.483448266983032
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.6032602787
14,2019-06-28,BUY,NVDA,12893,4.056702613830566,0.5364601612091064
15,2019-07-31,SELL,NVDA,955,4.360402584075928,4164.72092795372
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.999459981918335
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.128269910812
18,2019-08-30,BUY,NVDA,378,4.154504776000977,27238.725464582443
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.736288785934448
20,2019-09-30,SELL,NVDA,2049,4.272921562194824,8767.95256972313
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.8464620113372803
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.466636419296
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.61647772789
24,2019-10-31,BUY,NVDA,3060,5.05008602142334,270.3532521724701
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.483896017075
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.3239839077
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,187.7049424648285
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.6349351406097
29,2019-12-31,SELL,NVDA,11901,5.783753395080566,69990.08408999443
30,2019-12-31,BUY,CSCO,1730,40.44773483276367,15.502829313278198
