Date,PortfolioValue,PortfolioReturn
2010-01-05,1000000.0,
2010-01-06,1000000.0,0.0
2010-01-07,1000000.0,0.0
2010-01-08,1000000.0,0.0
2010-01-09,1000000.0,0.0
2010-01-10,1000000.0,0.0
2010-01-11,1000000.0,0.0
2010-01-12,1000000.0,0.0
2010-01-13,1000000.0,0.0
2010-01-14,1000000.0,0.0
2010-01-15,1000000.0,0.0
2010-01-16,1000000.0,0.0
2010-01-17,1000000.0,0.0
2010-01-18,1000000.0,0.0
2010-01-19,1000000.0,0.0
2010-01-20,1000000.0,0.0
2010-01-21,1000000.0,0.0
2010-01-22,1000000.0,0.0
2010-01-23,1000000.0,0.0
2010-01-24,1000000.0,0.0
2010-01-25,1000000.0,0.0
2010-01-26,1000000.0,0.0
2010-01-27,1000000.0,0.0
2010-01-28,1000000.0,0.0
2010-01-29,1000000.0,0.0
2010-01-30,963218.3692231178,-0.036781630776882124
2010-01-31,963218.3692231178,0.0
2010-02-01,963218.3692231178,0.0
2010-02-02,1003904.9761548042,0.04224027305926703
2010-02-03,1013212.918576479,0.009271736511683004
2010-02-04,1023597.3921964169,0.010249053707810596
2010-02-05,975805.7541880608,-0.046689878630704285
2010-02-06,993102.3875391483,0.01772548816898456
2010-02-07,993102.3875391483,0.0
2010-02-08,993102.3875391483,0.0
2010-02-09,990044.8437709808,-0.0030787799994559384
2010-02-10,991888.6103057861,0.001862306082805798
2010-02-11,998956.9525668621,0.00712614520182564
2010-02-12,1033764.586928606,0.034843978283853216
2010-02-13,1043776.2181303501,0.00968463355036131
2010-02-14,1043776.2181303501,0.0
2010-02-15,1043776.2181303501,0.0
2010-02-16,1043776.2181303501,0.0
2010-02-17,1063067.7226085663,0.018482414279156423
2010-02-18,1066514.272083044,0.003242078939261317
2010-02-19,1031989.658219099,-0.03237145040404743
2010-02-20,1028173.2132966518,-0.0036981426044843113
2010-02-21,1028173.2132966518,0.0
2010-02-22,1028173.2132966518,0.0
2010-02-23,1024032.8106086254,-0.00402695055121205
2010-02-24,1003234.474003315,-0.020310224818821054
2010-02-25,1021147.2494239807,0.01785502381032278
2010-02-26,1020438.9727959633,-0.000693608711590743
2010-02-27,1010376.4045519829,-0.009861019141996663
2010-02-28,1010376.4045519829,0.0
2010-03-01,1010376.4045519829,0.0
2010-03-02,1050122.357981503,0.039337768826009034
2010-03-03,1049141.1735688448,-0.0009343524639777723
2010-03-04,1036817.26692307,-0.011746661894750376
2010-03-05,1039206.1516304016,0.002304055674555938
2010-03-06,1070362.9685032964,0.029981363008690032
2010-03-07,1070362.9685032964,0.0
2010-03-08,1070362.9685032964,0.0
2010-03-09,1056958.6114506721,-0.012523188345508363
2010-03-10,1094198.2102240324,0.03523278808642183
2010-03-11,1097753.3064407706,0.0032490422516870954
2010-03-12,1075558.7260084152,-0.020218185909470443
2010-03-13,1078662.7865967155,0.0028859982381621574
2010-03-14,1078662.7865967155,0.0
2010-03-15,1078662.7865967155,0.0
2010-03-16,1072487.7632217407,-0.005724702336730725
2010-03-17,1106791.2709332108,0.03198498751018164
2010-03-18,1125846.0203991532,0.017216208662249377
2010-03-19,1090032.830133319,-0.0318100251872252
2010-03-20,1077419.1472677588,-0.011571837578522537
2010-03-21,1077419.1472677588,0.0
2010-03-22,1077419.1472677588,0.0
2010-03-23,1095201.8950650692,0.01650494874014985
2010-03-24,1116609.0152677894,0.019546277539492563
2010-03-25,1083088.0559782386,-0.03002031940563521
2010-03-26,1085561.6549932957,0.002283839251484343
2010-03-27,1087409.4610426426,0.001702165916461329
2010-03-28,1087409.4610426426,0.0
2010-03-29,1087409.4610426426,0.0
2010-03-30,1100017.1037445068,0.011594199934379379
2010-03-31,1105717.5947064161,0.005182183933781115
2010-04-01,1091261.1137959957,-0.013074297614174113
2010-04-02,1080156.9258112907,-0.01017555545993809
2010-04-03,1080156.9258112907,0.0
2010-04-04,1080156.9258112907,0.0
2010-04-05,1080156.9258112907,0.0
2010-04-06,1096819.0363992453,0.015425638802843311
2010-04-07,1070326.4810247421,-0.02415398939598612
