Date,PortfolioValue,PortfolioReturn,CumulativeReturn
2022-01-04,1000000.0,,
2022-01-05,1000000.0,0.0,0.0
2022-01-06,1000000.0,0.0,0.0
2022-01-07,1000000.0,0.0,0.0
2022-01-08,1000000.0,0.0,0.0
2022-01-09,1000000.0,0.0,0.0
2022-01-10,1000000.0,0.0,0.0
2022-01-11,1000000.0,0.0,0.0
2022-01-12,1000000.0,0.0,0.0
2022-01-13,1000000.0,0.0,0.0
2022-01-14,1000000.0,0.0,0.0
2022-01-15,1000000.0,0.0,0.0
2022-01-16,1000000.0,0.0,0.0
2022-01-17,1000000.0,0.0,0.0
2022-01-18,1000000.0,0.0,0.0
2022-01-19,1000000.0,0.0,0.0
2022-01-20,1000000.0,0.0,0.0
2022-01-21,1000000.0,0.0,0.0
2022-01-22,1000000.0,0.0,0.0
2022-01-23,1000000.0,0.0,0.0
2022-01-24,1000000.0,0.0,0.0
2022-01-25,1000000.0,0.0,0.0
2022-01-26,1000000.0,0.0,0.0
2022-01-27,1000000.0,0.0,0.0
2022-01-28,1000000.0,0.0,0.0
2022-01-29,1000000.0,0.0,0.0
2022-01-30,1000000.0,0.0,0.0
2022-01-31,1000000.0,0.0,0.0
2022-02-01,1033868.9136810303,0.03386891368103018,0.03386891368103018
2022-02-02,1037473.4641876221,0.0034864676352033275,0.037473464187621985
2022-02-03,1052502.7999458313,0.014486477270990061,0.0525027999458314
2022-02-04,1019811.9453849792,-0.03106011172847667,0.019811945384979435
2022-02-05,1025008.1857337952,0.005095292688353847,0.025008185733795374
2022-02-06,1025008.1857337952,0.0,0.025008185733795374
2022-02-07,1025008.1857337952,0.0,0.025008185733795374
2022-02-08,1031805.7137145996,0.006631681654267085,0.031805713714599726
2022-02-09,1045853.1726303101,0.013614441875048566,0.04585317263031019
2022-02-10,1079540.0057182312,0.032209906676669675,0.07954000571823139
2022-02-11,1053697.3089103699,-0.023938618921924837,0.053697308910370056
2022-02-12,1015153.5888938904,-0.03657949934060056,0.015153588893890513
2022-02-13,1015153.5888938904,0.0,0.015153588893890513
2022-02-14,1015153.5888938904,0.0,0.015153588893890513
2022-02-15,1017454.852607727,0.0022669118634000007,0.017454852607727167
2022-02-16,1053401.6509475708,0.03533011636606043,0.05340165094757099
2022-02-17,1050118.8684577942,-0.003116363532204125,0.05011886845779445
2022-02-18,1019645.7782173157,-0.02901870555400199,0.019645778217316057
2022-02-19,969718.4570045471,-0.048965358636661405,-0.030281542995452493
2022-02-20,969718.4570045471,0.0,-0.030281542995452493
2022-02-21,969718.4570045471,0.0,-0.030281542995452493
2022-02-22,969718.4570045471,0.0,-0.030281542995452493
2022-02-23,961513.056148529,-0.008461632133273445,-0.038486943851470556
2022-02-24,951016.7525177002,-0.010916444206044651,-0.04898324748229943
2022-02-25,998276.161365509,0.04969356083654186,-0.0017238386344905487
2022-02-26,1018504.6436004639,0.020263413089304905,0.018504643600464332
2022-02-27,1018504.6436004639,0.0,0.018504643600464332
2022-02-28,1018504.6436004639,0.0,0.018504643600464332
2022-03-01,1027742.577041626,0.009070094573654153,0.027742577041626415
2022-03-02,990043.8360214233,-0.03668111243256955,-0.009956163978576238
2022-03-03,1021705.3124847412,0.03197987332616736,0.021705312484741723
2022-03-04,1000669.253993988,-0.02058916424697299,0.0006692539939885389
2022-03-05,969058.2958278656,-0.03158981655522353,-0.030941704172133933
2022-03-06,969058.2958278656,0.0,-0.030941704172133933
2022-03-07,969058.2958278656,0.0,-0.030941704172133933
2022-03-08,903985.0863876343,-0.06715097504494227,-0.09601491361236525
2022-03-09,903614.8422317505,-0.0004095688761451832,-0.09638515776824907
2022-03-10,904050.5944290161,0.0004822322264974588,-0.09594940557098353
2022-03-11,903381.4177398682,-0.0007401982734943635,-0.09661858226013142
2022-03-12,903067.6126022339,-0.0003473672708692588,-0.09693238739776577
2022-03-13,903067.6126022339,0.0,-0.09693238739776577
2022-03-14,903067.6126022339,0.0,-0.09693238739776577
2022-03-15,902436.3334884644,-0.0006990385935228272,-0.09756366651153525
2022-03-16,902920.1571655273,0.0005361305380875425,-0.09707984283447235
2022-03-17,903650.6188430786,0.0008089991919599804,-0.09634938115692104
2022-03-18,903932.0559310913,0.0003114445806200461,-0.0960679440689084
2022-03-19,903996.3878631592,7.116899068448923e-05,-0.09600361213684039
2022-03-20,903996.3878631592,0.0,-0.09600361213684039
2022-03-21,903996.3878631592,0.0,-0.09600361213684039
2022-03-22,903981.7177505493,-1.6228065517487344e-05,-0.0960182822494502
2022-03-23,904396.9879608154,0.0004593789919773439,-0.09560301203918398
2022-03-24,903921.627998352,-0.0005256098469934578,-0.09607837200164737
2022-03-25,905172.7341995239,0.0013840870296935037,-0.0948272658004754
2022-03-26,905370.6346740723,0.0002186328278253047,-0.09462936532592703
2022-03-27,905370.6346740723,0.0,-0.09462936532592703
2022-03-28,905370.6346740723,0.0,-0.09462936532592703
2022-03-29,905294.9359436035,-8.361076400054124e-05,-0.09470506405639578
2022-03-30,905705.2561721802,0.00045324480706265824,-0.09429474382781922
2022-03-31,905497.111831665,-0.00022981465448790317,-0.0945028881683343
2022-04-01,896103.9150333405,-0.010373524857880234,-0.10389608496665881
2022-04-02,885015.1729164124,-0.012374393115463067,-0.11498482708358693
2022-04-03,885015.1729164124,0.0,-0.11498482708358693
2022-04-04,885015.1729164124,0.0,-0.11498482708358693
2022-04-05,898235.8515625,0.01493836382773095,-0.10176414843749937
2022-04-06,868279.3893299103,-0.03335033018385969,-0.1317206106700891
