Date,PortfolioValue,PortfolioReturn
2010-01-05,1000000.0,
2010-01-06,1000000.0,0.0
2010-01-07,1000000.0,0.0
2010-01-08,1000000.0,0.0
2010-01-09,1000000.0,0.0
2010-01-10,1000000.0,0.0
2010-01-11,1000000.0,0.0
2010-01-12,1000000.0,0.0
2010-01-13,1000000.0,0.0
2010-01-14,1000000.0,0.0
2010-01-15,1000000.0,0.0
2010-01-16,1000000.0,0.0
2010-01-17,1000000.0,0.0
2010-01-18,1000000.0,0.0
2010-01-19,1000000.0,0.0
2010-01-20,1000000.0,0.0
2010-01-21,1000000.0,0.0
2010-01-22,1000000.0,0.0
2010-01-23,1000000.0,0.0
2010-01-24,1000000.0,0.0
2010-01-25,1000000.0,0.0
2010-01-26,1000000.0,0.0
2010-01-27,1000000.0,0.0
2010-01-28,1000000.0,0.0
2010-01-29,1000000.0,0.0
2010-01-30,963218.1675469279,-0.036781832453072094
2010-01-31,963218.1675469279,0.0
2010-02-01,963218.1675469279,0.0
2010-02-02,1003904.5201103091,0.04224001782171416
2010-02-03,1013212.7958040237,0.009272072699395562
2010-02-04,1023597.019327879,0.010248808114997177
2010-02-05,975805.3162825704,-0.04668995917620966
2010-02-06,993101.7654466033,0.017725307369635512
2010-02-07,993101.7654466033,0.0
2010-02-08,993101.7654466033,0.0
2010-02-09,990044.7314202785,-0.0030782686454594588
2010-02-10,991888.3867390752,0.001862193959814018
2010-02-11,998956.6573956013,0.00712607461789494
2010-02-12,1033764.6454265714,0.03484434261814595
2010-02-13,1043776.2054378986,0.009684564137126372
2010-02-14,1043776.2054378986,0.0
2010-02-15,1043776.2054378986,0.0
2010-02-16,1043776.2054378986,0.0
2010-02-17,1063067.9191129804,0.018482614927007424
2010-02-18,1066514.366909027,0.003241982693751533
2010-02-19,1031990.0857856274,-0.03237113553702797
2010-02-20,1028173.7414718866,-0.003698043582303856
2010-02-21,1028173.7414718866,0.0
2010-02-22,1028173.7414718866,0.0
2010-02-23,1024033.0533881783,-0.004027226057904065
2010-02-24,1003234.7326759696,-0.02031020448353127
2010-02-25,1021147.4120974541,0.017854923516957166
2010-02-26,1020439.299749732,-0.0006934477229566527
2010-02-27,1010376.9279746413,-0.00986082344884065
2010-02-28,1010376.9279746413,0.0
2010-03-01,1010376.9279746413,0.0
2010-03-02,1050122.461403489,0.03933733276008189
2010-03-03,1049141.2151095867,-0.0009344112996030329
2010-03-04,1036817.370345056,-0.011746602446881638
2010-03-05,1039206.1769334078,0.0023039800997515236
2010-03-06,1070363.2119255066,0.02998157216890296
2010-03-07,1070363.2119255066,0.0
2010-03-08,1070363.2119255066,0.0
2010-03-09,1056958.989460528,-0.01252305975731871
2010-03-10,1094198.3809398413,0.035232579362724614
2010-03-11,1097753.6171568036,0.0032491696925274205
2010-03-12,1075559.104018271,-0.020218118885380387
2010-03-13,1078663.2589632869,0.002886084951927659
2010-03-14,1078663.2589632869,0.0
2010-03-15,1078663.2589632869,0.0
2010-03-16,1072488.1010006666,-0.00572482460240209
2010-03-17,1106791.6543556452,0.031985019995067754
2010-03-18,1125846.565472126,0.017216348751359467
2010-03-19,1090033.2970873117,-0.031810079173440364
2010-03-20,1077419.6250469089,-0.01157182269028667
2010-03-21,1077419.6250469089,0.0
2010-03-22,1077419.6250469089,0.0
2010-03-23,1095202.0711934566,0.016504661445881474
2010-03-24,1116609.1186897755,0.019546208009806998
2010-03-25,1083088.0704560876,-0.030020396280679984
2010-03-26,1085562.11653471,0.00228425198846538
2010-03-27,1087409.9442343712,0.0017021851366367802
2010-03-28,1087409.9442343712,0.0
2010-03-29,1087409.9442343712,0.0
2010-03-30,1100017.0834040046,0.01159373172599576
2010-03-31,1105717.9000098705,0.005182480064968464
2010-04-01,1091261.7431765795,-0.013074000912133177
2010-04-02,1080157.5551918745,-0.010175549591229571
2010-04-03,1080157.5551918745,0.0
2010-04-04,1080157.5551918745,0.0
2010-04-05,1080157.5551918745,0.0
2010-04-06,1096819.3417026997,0.015425329787065678
2010-04-07,1070326.9483667612,-0.024153834937676866
2010-04-08,1076850.081375122,0.006094523751190906
2010-04-09,1059590.0413548946,-0.01602826644001054
2010-04-10,1066500.0795658827,0.00652142615662199
2010-04-11,1066500.0795658827,0.0
2010-04-12,1066500.0795658827,0.0
2010-04-13,1085891.772665739,0.018182551948565884
2010-04-14,1108622.6343212128,0.02093289794402997
2010-04-15,1122443.4617905617,0.012466665429225365
2010-04-16,1130478.9484535456,0.007158923310190968
2010-04-17,1071127.6015319824,-0.05250106337915772
2010-04-18,1071127.6015319824,0.0
2010-04-19,1071127.6015319824,0.0
2010-04-20,1066094.722401619,-0.004698673737064785
2010-04-21,1070041.8715308905,0.0037024375473688753
2010-04-22,1042609.0207951069,-0.025637175016839153
2010-04-23,1048185.3292443752,0.005348417612017098
2010-04-24,1033802.0720534325,-0.013722055432040303
2010-04-25,1033802.0720534325,0.0
2010-04-26,1033802.0720534325,0.0
2010-04-27,1044546.3926212788,0.010393015121845206
2010-04-28,1014694.2934139967,-0.028579007517673283
2010-04-29,1016319.1087446213,0.0016012855706104556
2010-04-30,1047206.1424878836,0.030391078429504947
2010-05-01,988147.384062022,-0.05639649733676477
2010-05-02,988147.384062022,0.0
2010-05-03,988147.384062022,0.0
2010-05-04,977623.9030796587,-0.010649707879713088
2010-05-05,928028.9269389212,-0.050730118181957384
2010-05-06,927982.9195584357,-4.957537329930428e-05
2010-05-07,927931.6194714606,-5.528128362486395e-05
2010-05-08,927692.2196997702,-0.00025799290235062333
2010-05-09,927692.2196997702,0.0
