Date,PortfolioValue,PortfolioReturn
2010-01-05,1000000.0,
2010-01-06,1000000.0,0.0
2010-01-07,1000000.0,0.0
2010-01-08,1000000.0,0.0
2010-01-09,1000000.0,0.0
2010-01-10,1000000.0,0.0
2010-01-11,1000000.0,0.0
2010-01-12,1000000.0,0.0
2010-01-13,1000000.0,0.0
2010-01-14,1000000.0,0.0
2010-01-15,1000000.0,0.0
2010-01-16,1000000.0,0.0
2010-01-17,1000000.0,0.0
2010-01-18,1000000.0,0.0
2010-01-19,1000000.0,0.0
2010-01-20,1000000.0,0.0
2010-01-21,1000000.0,0.0
2010-01-22,1000000.0,0.0
2010-01-23,1000000.0,0.0
2010-01-24,1000000.0,0.0
2010-01-25,1000000.0,0.0
2010-01-26,1000000.0,0.0
2010-01-27,1000000.0,0.0
2010-01-28,1000000.0,0.0
2010-01-29,1000000.0,0.0
2010-01-30,963218.394307375,-0.03678160569262501
2010-01-31,963218.394307375,0.0
2010-02-01,963218.394307375,0.0
2010-02-02,1003904.8462834358,0.042240111086455645
2010-02-03,1013213.0905516148,0.009272038383556946
2010-02-04,1023597.2444155216,0.010248736382051149
2010-02-05,975805.7443432808,-0.046689750615272474
2010-02-06,993102.3176810741,0.01772542684654299
2010-02-07,993102.3176810741,0.0
2010-02-08,993102.3176810741,0.0
2010-02-09,990044.9378232956,-0.0030786151671839956
2010-02-10,991888.5664219856,0.001862166582805136
2010-02-11,998957.1066324711,0.0071263450852989685
2010-02-12,1033764.8269817829,0.034844058987327564
2010-02-13,1043776.4671382904,0.009684639963750685
2010-02-14,1043776.4671382904,0.0
2010-02-15,1043776.4671382904,0.0
2010-02-16,1043776.4671382904,0.0
2010-02-17,1063067.7306733131,0.018482179031985124
2010-02-18,1066514.073243618,0.003241884285323904
2010-02-19,1031989.7863104343,-0.03237114989789491
2010-02-20,1028173.359297514,-0.003698124791103652
2010-02-21,1028173.359297514,0.0
2010-02-22,1028173.359297514,0.0
2010-02-23,1024032.9476547241,-0.004026958688774784
2010-02-24,1003234.4901328087,-0.02031034017953115
2010-02-25,1021147.2055401802,0.017854963703451077
2010-02-26,1020439.0677382946,-0.0006934727902535576
2010-02-27,1010376.7307815552,-0.009860791569889282
2010-02-28,1010376.7307815552,0.0
2010-03-01,1010376.7307815552,0.0
2010-03-02,1050122.3639796972,0.03933743918211352
2010-03-03,1049141.7612182498,-0.0009337985696554751
2010-03-04,1036817.4183340669,-0.01174707112018114
2010-03-05,1039206.2086846828,0.0023039643319786585
2010-03-06,1070363.2707396746,0.02998159729475347
2010-03-07,1070363.2707396746,0.0
2010-03-08,1070363.2707396746,0.0
2010-03-09,1056958.8866241574,-0.012523210093199566
2010-03-10,1094198.4397540092,0.03523273572995067
2010-03-11,1097753.5707890987,0.0032490733910099934
2010-03-12,1075559.1465947032,-0.020218038715594022
2010-03-13,1078663.083420515,0.002885882041577359
2010-03-14,1078663.083420515,0.0
2010-03-15,1078663.083420515,0.0
2010-03-16,1072488.2781647444,-0.005724498548879575
2010-03-17,1106791.5461066961,0.031984748589189094
2010-03-18,1125846.597223401,0.017216476927144786
2010-03-19,1090033.1942509413,-0.031810197819830854
2010-03-20,1077419.47656703,-0.01157186565550361
2010-03-21,1077419.47656703,0.0
2010-03-22,1077419.47656703,0.0
2010-03-23,1095202.4935396314,0.01650519352895241
2010-03-24,1116609.0560843349,0.01954575767584199
2010-03-25,1083088.212801814,-0.03002021441601943
2010-03-26,1085562.0028731823,0.0022840153203853575
2010-03-27,1087409.825160265,0.0017021803288914672
2010-03-28,1087409.825160265,0.0
2010-03-29,1087409.825160265,0.0
2010-03-30,1100017.2280926108,0.011593975556076774
2010-03-31,1105717.6355229616,0.005182107411385806
2010-04-01,1091261.559708953,-0.013073930766394626
2010-04-02,1080157.2907049656,-0.010175625545674749
2010-04-03,1080157.2907049656,0.0
2010-04-04,1080157.2907049656,0.0
2010-04-05,1080157.2907049656,0.0
2010-04-06,1096818.915177226,0.015425183550245913
2010-04-07,1070326.845918417,-0.024153548860459284
2010-04-08,1076850.3030039072,0.006094827117872237
2010-04-09,1059590.100945115,-0.016028413615749804
2010-04-10,1066500.4632332325,0.0065217316412766735
2010-04-11,1066500.4632332325,0.0
2010-04-12,1066500.4632332325,0.0
2010-04-13,1085891.5891981125,0.01818201363559968
2010-04-14,1108622.5318728685,0.020932976091602162
2010-04-15,1122443.8454579115,0.012467105067487383
2010-04-16,1130478.8460052013,0.007158487776296685
2010-04-17,1071127.4990836382,-0.05250106813700617
2010-04-18,1071127.4990836382,0.0
2010-04-19,1071127.4990836382,0.0
2010-04-20,1066094.8630111217,-0.004698447268716266
2010-04-21,1070041.688063264,0.003702133073781644
2010-04-22,1042608.756308198,-0.025637255128553416
2010-04-23,1048185.3888345957,0.005348729801717855
2010-04-24,1033802.1316436529,-0.013722054651929994
2010-04-25,1033802.1316436529,0.0
2010-04-26,1033802.1316436529,0.0
2010-04-27,1044546.1281343699,0.010392701041963326
2010-04-28,1014694.2719849348,-0.028578782061786434
2010-04-29,1016319.2493541241,0.0016014452964343562
2010-04-30,1047205.7969816923,0.030390595914814078
2010-05-01,988147.7714058757,-0.056395816129013565
2010-05-02,988147.7714058757,0.0
2010-05-03,988147.7714058757,0.0
2010-05-04,977624.1275679469,-0.010649868514054694
2010-05-05,928029.1514272094,-0.05073010653298404
2010-05-06,927983.1440467238,-4.957536130711926e-05
2010-05-07,927931.8439597487,-5.528127025178353e-05
2010-05-08,927692.4441880584,-0.00025799283993610533
2010-05-09,927692.4441880584,0.0
