Date,PortfolioValue,PortfolioReturn,CumulativeReturn
2010-01-05,1000000.0,,
2010-01-06,1000000.0,0.0,0.0
2010-01-07,1000000.0,0.0,0.0
2010-01-08,1000000.0,0.0,0.0
2010-01-09,1000000.0,0.0,0.0
2010-01-10,1000000.0,0.0,0.0
2010-01-11,1000000.0,0.0,0.0
2010-01-12,1000000.0,0.0,0.0
2010-01-13,1000000.0,0.0,0.0
2010-01-14,1000000.0,0.0,0.0
2010-01-15,1000000.0,0.0,0.0
2010-01-16,1000000.0,0.0,0.0
2010-01-17,1000000.0,0.0,0.0
2010-01-18,1000000.0,0.0,0.0
2010-01-19,1000000.0,0.0,0.0
2010-01-20,1000000.0,0.0,0.0
2010-01-21,1000000.0,0.0,0.0
2010-01-22,1000000.0,0.0,0.0
2010-01-23,1000000.0,0.0,0.0
2010-01-24,1000000.0,0.0,0.0
2010-01-25,1000000.0,0.0,0.0
2010-01-26,1000000.0,0.0,0.0
2010-01-27,1000000.0,0.0,0.0
2010-01-28,1000000.0,0.0,0.0
2010-01-29,1000000.0,0.0,0.0
2010-01-30,963217.0617009699,-0.03678293829903001,-0.03678293829903001
2010-01-31,963217.0617009699,0.0,-0.03678293829903001
2010-02-01,963217.0617009699,0.0,-0.03678293829903001
2010-02-02,1003978.7794560492,0.042318309523190045,0.003978779456049297
2010-02-03,1013296.8977666199,0.009281190500479708,0.013296897766619908
2010-02-04,1023663.1423156261,0.010230214433552653,0.023663142315626162
2010-02-05,975839.109596014,-0.046718525599573235,-0.024160890403985946
2010-02-06,993136.1778152287,0.01772532792457504,-0.006863822184771329
2010-02-07,993136.1778152287,0.0,-0.006863822184771329
2010-02-08,993136.1778152287,0.0,-0.006863822184771329
2010-02-09,990089.0760806799,-0.0030681610464056153,-0.009910923919320136
2010-02-10,991909.0360230505,0.0018381779845253465,-0.008090963976949639
2010-02-11,999011.5298081636,0.007160428554607856,-0.0009884701918366767
2010-02-12,1033866.2262032926,0.03488918331285129,0.03386622620329227
2010-02-13,1043881.8933342099,0.009687585179852798,0.043881893334209554
2010-02-14,1043881.8933342099,0.0,0.043881893334209554
2010-02-15,1043881.8933342099,0.0,0.043881893334209554
2010-02-16,1043881.8933342099,0.0,0.043881893334209554
2010-02-17,1063184.8384341002,0.018491502940275906,0.06318483843409983
2010-02-18,1066652.5763268769,0.0032616510012353217,0.0666525763268766
2010-02-19,1032027.8894795775,-0.032461072720166184,0.032027889479577354
2010-02-20,1028218.105858177,-0.0036915510329103007,0.028218105858176745
2010-02-21,1028218.105858177,0.0,0.028218105858176745
2010-02-22,1028218.105858177,0.0,0.028218105858176745
2010-02-23,1024083.8482060134,-0.004020798338999265,0.02408384820601328
2010-02-24,1003274.1465517282,-0.020320310383509677,0.0032741465517280854
2010-02-25,1021186.4919029176,0.017853889101751896,0.021186491902917437
2010-02-26,1020458.1299084723,-0.0007132507139691047,0.020458129908472067
2010-02-27,1010404.0332640707,-0.009852532259509106,0.010404033264070467
2010-02-28,1010404.0332640707,0.0,0.010404033264070467
2010-03-01,1010404.0332640707,0.0,0.010404033264070467
2010-03-02,1050168.0267314017,0.03935454744660394,0.050168026731401305
