Date,PortfolioValue,PortfolioReturn
2019-01-03,1000000.0,
2019-01-04,1000000.0,0.0
2019-01-05,1000000.0,0.0
2019-01-06,1000000.0,0.0
2019-01-07,1000000.0,0.0
2019-01-08,1000000.0,0.0
2019-01-09,1000000.0,0.0
2019-01-10,1000000.0,0.0
2019-01-11,1000000.0,0.0
2019-01-12,1000000.0,0.0
2019-01-13,1000000.0,0.0
2019-01-14,1000000.0,0.0
2019-01-15,1000000.0,0.0
2019-01-16,1000000.0,0.0
2019-01-17,1000000.0,0.0
2019-01-18,1000000.0,0.0
2019-01-19,1000000.0,0.0
2019-01-20,1000000.0,0.0
2019-01-21,1000000.0,0.0
2019-01-22,1000000.0,0.0
2019-01-23,1000000.0,0.0
2019-01-24,1000000.0,0.0
2019-01-25,1000000.0,0.0
2019-01-26,1000000.0,0.0
2019-01-27,1000000.0,0.0
2019-01-28,1000000.0,0.0
2019-01-29,1000000.0,0.0
2019-01-30,1000000.0,0.0
2019-01-31,1000000.0,0.0
2019-02-01,1045764.6518599987,0.045764651859998784
2019-02-02,1052995.5284881592,0.006914439702374375
2019-02-03,1052995.5284881592,0.0
2019-02-04,1052995.5284881592,0.0
2019-02-05,1085079.1315951347,0.030468888270626993
2019-02-06,1090904.2541751862,0.005368385042561874
2019-02-07,1112743.4241874218,0.020019327937031317
2019-02-08,1072222.1419496536,-0.03641565643702527
2019-02-09,1077569.8201563358,0.004987472275995275
2019-02-10,1077569.8201563358,0.0
2019-02-11,1077569.8201563358,0.0
2019-02-12,1065408.4974577427,-0.011285879087471806
2019-02-13,1099381.1817228794,0.03188700329141514
2019-02-14,1111581.986572504,0.011097884020994764
2019-02-15,1123325.3570110798,0.01056455626344377
2019-02-16,1143705.811851263,0.018142966962315432
2019-02-17,1143705.811851263,0.0
2019-02-18,1143705.811851263,0.0
2019-02-19,1143705.811851263,0.0
2019-02-20,1138588.9720432758,-0.004473912569968319
2019-02-21,1152248.909674883,0.011997250954480343
2019-02-22,1131847.822072029,-0.01770545186162087
2019-02-23,1156602.4980635643,0.021871028515315638
2019-02-24,1156602.4980635643,0.0
2019-02-25,1156602.4980635643,0.0
2019-02-26,1153133.3395996094,-0.0029994388476275446
2019-02-27,1141647.9611194134,-0.009960147786711282
2019-02-28,1130025.4367947578,-0.010180480078341603
2019-03-01,1124169.7753453255,-0.005181884636191514
2019-03-02,1134530.9919552803,0.009216772090115954
2019-03-03,1134530.9919552803,0.0
2019-03-04,1134530.9919552803,0.0
2019-03-05,1135025.0762696266,0.0004354965336776928
2019-03-06,1131565.8302989006,-0.003047726471467227
2019-03-07,1100742.0350756645,-0.027239948748800646
2019-03-08,1081502.9588332176,-0.01747827886042752
2019-03-09,1091018.982726574,0.008798888450219922
2019-03-10,1091018.982726574,0.0
2019-03-11,1091018.982726574,0.0
2019-03-12,1163423.9730658531,0.06636455596614033
2019-03-13,1172939.9969592094,0.008179325949661864
2019-03-14,1215003.5961928368,0.03586168034398618
2019-03-15,1193902.985774517,-0.017366706143453037
2019-03-16,1223209.7644248009,0.024547035227717284
2019-03-17,1223209.7644248009,0.0
2019-03-18,1223209.7644248009,0.0
2019-03-19,1217279.4521918297,-0.004848156387763813
2019-03-20,1263894.4985117912,0.03829444934441861
2019-03-21,1254860.8787360191,-0.007147447659918593
2019-03-22,1320646.1242690086,0.05242433376300082
2019-03-23,1276237.5270953178,-0.0336264169163949
2019-03-24,1276237.5270953178,0.0
2019-03-25,1276237.5270953178,0.0
2019-03-26,1250585.9994139671,-0.020099336633465748
2019-03-27,1271893.3733763695,0.017037911804855588
2019-03-28,1269341.6118922234,-0.0020062699732228406
2019-03-29,1274513.6145224571,0.004074555329927065
2019-03-30,1289725.0885510445,0.011935120861213289
2019-03-31,1289725.0885510445,0.0
2019-04-01,1289725.0885510445,0.0
2019-04-02,1312233.8664660454,0.017452384321908987
2019-04-03,1314818.2242531776,0.0019694338434446124
2019-04-04,1353530.045571804,0.029442717331222612
2019-04-05,1337214.9304242134,-0.012053751744164787
2019-04-06,1358284.147573948,0.015756043901671513
2019-04-07,1358284.147573948,0.0
2019-04-08,1358284.147573948,0.0
2019-04-09,1362521.8850955963,0.003119919737867516
2019-04-10,1346135.9527301788,-0.012026179208319943
2019-04-11,1366138.872666359,0.014859509469018262
2019-04-12,1358157.874063015,-0.005842011206201203
2019-04-13,1348142.3647623062,-0.007374333641159692
2019-04-14,1348142.3647623062,0.0
2019-04-15,1348142.3647623062,0.0
2019-04-16,1314071.5397758484,-0.025272423652723752
2019-04-17,1340165.7023124695,0.019857490058016403
2019-04-18,1333150.4913287163,-0.005234584776829032
2019-04-19,1328129.8153643608,-0.003766023413719455
2019-04-20,1328129.8153643608,0.0
2019-04-21,1328129.8153643608,0.0
2019-04-22,1328129.8153643608,0.0
2019-04-23,1335589.4319262505,0.005616632105983621
2019-04-24,1350057.8072896004,0.01083295136775897
2019-04-25,1350128.078520298,5.2050534664616066e-05
2019-04-26,1316961.4196619987,-0.024565564842299215
2019-04-27,1261652.172601223,-0.04199762136917495
2019-04-28,1261652.172601223,0.0
2019-04-29,1261652.172601223,0.0
2019-04-30,1269428.1006717682,0.006163289882434864
2019-05-01,1276520.0949716568,0.005586763280358786
2019-05-02,1269038.4022741318,-0.005861006596759588
2019-05-03,1294337.0616884232,0.01993529854491083
2019-05-04,1303570.0406808853,0.007133365230551414
2019-05-05,1303570.0406808853,0.0
2019-05-06,1303570.0406808853,0.0
2019-05-07,1285494.8554477692,-0.013865910284095673
2019-05-08,1238532.6549301147,-0.03653239086771476
