Date,PortfolioValue,PortfolioReturn
2010-01-05,1000000.0,
2010-01-06,1000000.0,0.0
2010-01-07,1000000.0,0.0
2010-01-08,1000000.0,0.0
2010-01-09,1000000.0,0.0
2010-01-10,1000000.0,0.0
2010-01-11,1000000.0,0.0
2010-01-12,1000000.0,0.0
2010-01-13,1000000.0,0.0
2010-01-14,1000000.0,0.0
2010-01-15,1000000.0,0.0
2010-01-16,1000000.0,0.0
2010-01-17,1000000.0,0.0
2010-01-18,1000000.0,0.0
2010-01-19,1000000.0,0.0
2010-01-20,1000000.0,0.0
2010-01-21,1000000.0,0.0
2010-01-22,1000000.0,0.0
2010-01-23,1000000.0,0.0
2010-01-24,1000000.0,0.0
2010-01-25,1000000.0,0.0
2010-01-26,1000000.0,0.0
2010-01-27,1000000.0,0.0
2010-01-28,1000000.0,0.0
2010-01-29,1000000.0,0.0
2010-01-30,963218.3206416965,-0.036781679358303565
2010-01-31,963218.3206416965,0.0
2010-02-01,963218.3206416965,0.0
2010-02-02,1003904.5601636171,0.04223989374996062
2010-02-03,1013212.883908242,0.009272120193485112
2010-02-04,1023597.0863126814,0.010248786379802644
2010-02-05,975805.4406649768,-0.04668990004637974
2010-02-06,993101.97654441,0.017725393975715154
2010-02-07,993101.97654441,0.0
2010-02-08,993101.97654441,0.0
2010-02-09,990044.7461469471,-0.0030784657262497017
2010-02-10,991888.5074531734,0.0018623009852856143
2010-02-11,998956.831015408,0.007126127089004841
2010-02-12,1033764.8188704848,0.03484433638608353
2010-02-13,1043776.5124347806,0.00968469170312325
2010-02-14,1043776.5124347806,0.0
2010-02-15,1043776.5124347806,0.0
2010-02-16,1043776.5124347806,0.0
2010-02-17,1063067.7440619469,0.01848214766029388
2010-02-18,1066514.2829025388,0.0032420688708161283
2010-02-19,1031990.1575850546,-0.032370991997900056
2010-02-20,1028173.7203925252,-0.0036981333247017023
2010-02-21,1028173.7203925252,0.0
2010-02-22,1028173.7203925252,0.0
2010-02-23,1024033.186576426,-0.0040270761000567035
2010-02-24,1003234.7639635503,-0.020310301351081694
2010-02-25,1021147.5556160808,0.017855034829296734
2010-02-26,1020439.533585161,-0.0006933591791175031
2010-02-27,1010377.0791056454,-0.009860902237061153
2010-02-28,1010377.0791056454,0.0
2010-03-01,1010377.0791056454,0.0
2010-03-02,1050122.673080653,0.0393373868003708
2010-03-03,1049141.879033655,-0.0009339804502275229
2010-03-04,1036817.7711042762,-0.01174684585151653
2010-03-05,1039206.1769602895,0.0023035927070091944
2010-03-06,1070363.4525896609,0.029981803726867096
2010-03-07,1070363.4525896609,0.0
2010-03-08,1070363.4525896609,0.0
2010-03-09,1056959.1462739408,-0.01252313528016058
2010-03-10,1094198.2776093483,0.035232328010675884
2010-03-11,1097753.4930931032,0.0032491510510530563
2010-03-12,1075559.3451409936,-0.02021778850329492
2010-03-13,1078663.5687554777,0.002886148150269774
2010-03-14,1078663.5687554777,0.0
2010-03-15,1078663.5687554777,0.0
2010-03-16,1072488.5433170795,-0.005724700098588276
2010-03-17,1106791.6393714845,0.03198458041174934
2010-03-18,1125846.6766330898,0.017216462958128398
2010-03-19,1090033.1646305323,-0.03181029241891087
2010-03-20,1077419.9510768354,-0.011571403479243791
2010-03-21,1077419.9510768354,0.0
2010-03-22,1077419.9510768354,0.0
2010-03-23,1095202.6109370291,0.01650485480839725
2010-03-24,1116609.4215049744,0.0195459820440258
2010-03-25,1083088.48093462,-0.03002029171952958
2010-03-26,1085562.2829775214,0.0022840258080916165
2010-03-27,1087410.0998520255,0.001702174903715159
2010-03-28,1087410.0998520255,0.0
2010-03-29,1087410.0998520255,0.0
2010-03-30,1100017.3570029438,0.011593838564341041
2010-03-31,1105718.1512205899,0.005182458423363734
2010-04-01,1091261.1789209843,-0.013074735441076624
2010-04-02,1080157.5539444983,-0.010175038928320501
2010-04-03,1080157.5539444983,0.0
2010-04-04,1080157.5539444983,0.0
2010-04-05,1080157.5539444983,0.0
2010-04-06,1096819.508455038,0.015425485337480671
2010-04-07,1070327.186279714,-0.02415376638645006
