Date,PortfolioValue,PortfolioReturn,CumulativeReturn
2010-09-28,993307.7266377807,-0.011465094622365335,-0.006692273362217671
2010-09-29,993293.645991385,-1.417551280236129e-05,-0.006706354008613302
2010-09-30,993899.658733666,0.0006101043178183829,-0.00610034126633241
2010-10-01,968038.9252878726,-0.026019461037689373,-0.031961074712125837
2010-10-02,946776.4782744348,-0.02196445458752061,-0.05322352172556366
2010-10-03,946776.4782744348,0.0,-0.05322352172556366
2010-10-04,946776.4782744348,0.0,-0.05322352172556366
2010-10-05,942160.9637246132,-0.004874978049976164,-0.057839036275385225
2010-10-06,948738.7713631988,0.006981617676645957,-0.051261228636799716
2010-10-07,906550.653697595,-0.044467580475271995,-0.09344934630240354
2010-10-08,900835.4857064337,-0.006304300777734362,-0.09916451429356488
2010-10-09,911881.9349826127,0.012262449083604299,-0.08811806501738573
2010-10-10,911881.9349826127,0.0,-0.08811806501738573
2010-10-11,911881.9349826127,0.0,-0.08811806501738573
2010-10-12,906971.4038964808,-0.005385051395086049,-0.09302859610351766
2010-10-13,921478.7270455956,0.015995347909304902,-0.0785212729544027
2010-10-14,945991.9948371649,0.026602098423001763,-0.05400800516283333
2010-10-15,935180.1463854909,-0.011429111991095753,-0.06481985361450737
2010-10-16,942600.1157041192,0.00793426736795766,-0.057399884295879056
2010-10-17,942600.1157041192,0.0,-0.057399884295879056
2010-10-18,942600.1157041192,0.0,-0.057399884295879056
2010-10-19,945016.4953603745,0.0025635257369454045,-0.05498350463962387
2010-10-20,938712.9806078076,-0.006670269549277075,-0.06128701939219072
2010-10-21,943459.0845022798,0.005055969175369324,-0.05654091549771856
2010-10-22,930413.9963689446,-0.013826872142756463,-0.06958600363105372
2010-10-23,979148.681027025,0.052379569576848084,-0.02085131897297321
2010-10-24,979148.681027025,0.0,-0.02085131897297321
2010-10-25,979148.681027025,0.0,-0.02085131897297321
2010-10-26,987764.0516845584,0.008798838036013779,-0.012235948315439837
2010-10-27,988876.891249001,0.0011266248883472496,-0.011123108750997313
2010-10-28,997780.84424299,0.009004106651478994,-0.002219155757008262
2010-10-29,999904.7822160721,0.0021286618051816752,-9.521778392629354e-05
2010-10-30,1001597.2033838034,0.0016925823316700228,0.0015972033838049793
2010-10-31,1001597.2033838034,0.0,0.0015972033838049793
2010-11-01,1001597.2033838034,0.0,0.0015972033838049793
2010-11-02,1000531.1465705633,-0.0010643568189272479,0.0005311465705648555
2010-11-03,1017535.9678637981,0.016995794035518763,0.01753596786379963
2010-11-04,1027216.5819056034,0.009513780689373252,0.027216581905604942
2010-11-05,1047662.4213455915,0.01990411739855169,0.047662421345593176
2010-11-06,1060060.9032871723,0.011834424609461935,0.06006090328717395
2010-11-07,1060060.9032871723,0.0,0.06006090328717395
2010-11-08,1060060.9032871723,0.0,0.06006090328717395
2010-11-09,1066925.2111878395,0.00647539012087095,0.06692521118784134
2010-11-10,1059753.8682613373,-0.006721504798371192,0.059753868261338994
2010-11-11,1099127.1588474512,0.03715324073382331,0.09912715884745293
2010-11-12,1081813.2171282768,-0.015752446456995806,0.0818132171282786
2010-11-13,1139581.1644741297,0.05339918798478038,0.1395811644741316
2010-11-14,1139581.1644741297,0.0,0.1395811644741316
2010-11-15,1139581.1644741297,0.0,0.1395811644741316
2010-11-16,1133814.2490353584,-0.0050605569998452005,0.1338142490353602
2010-11-17,1098844.2059332132,-0.03084283261733345,0.09884420593321508
2010-11-18,1112889.0239158869,0.012781446092938964,0.11288902391588884
2010-11-19,1144115.5785837173,0.028059001388974547,0.14411557858371937
2010-11-20,1181766.3063585758,0.03290815060963137,0.18176630635857793
2010-11-21,1181766.3063585758,0.0,0.18176630635857793
2010-11-22,1181766.3063585758,0.0,0.18176630635857793
2010-11-23,1197072.242396593,0.012951745159480943,0.19707224239659538
2010-11-24,1181058.8573668003,-0.013377125007704826,0.1810588573668026
2010-11-25,1210328.3480041027,0.024782414910768713,0.21032834800410516
2010-11-26,1210328.3480041027,0.0,0.21032834800410516
2010-11-27,1197164.2451086044,-0.010876472419411254,0.19716424510860686
2010-11-28,1197164.2451086044,0.0,0.19716424510860686
2010-11-29,1197164.2451086044,0.0,0.19716424510860686
2010-11-30,1201986.615336895,0.0040281609211050284,0.20198661533689766
2010-12-01,1190904.479106903,-0.00921984994557179,0.19090447910690567
2010-12-02,1240592.9267024398,0.04172328550884252,0.24059292670244248
2010-12-03,1253005.2109290361,0.010005122517979137,0.2530052109290388
2010-12-04,1286589.9506497383,0.02680335199548045,0.28658995064974113
2010-12-05,1286589.9506497383,0.0,0.28658995064974113
2010-12-06,1286589.9506497383,0.0,0.28658995064974113
2010-12-07,1262254.2621520162,-0.01891487531472824,0.26225426215201897
2010-12-08,1302873.0693711638,0.03217957620511158,0.30287306937116676
2010-12-09,1314505.2017620802,0.008928062651974766,0.3145052017620833
2010-12-10,1293460.550071299,-0.01600956136390408,0.2934605500713021
2010-12-11,1300549.917574942,0.0054809305960294985,0.3005499175749451
2010-12-12,1300549.917574942,0.0,0.3005499175749451
2010-12-13,1300549.917574942,0.0,0.3005499175749451
2010-12-14,1267630.2415933013,-0.025312120309095243,0.2676302415933043
2010-12-15,1267457.2127250433,-0.00013649790181757826,0.2674572127250463
2010-12-16,1241462.7193038464,-0.020509168404437506,0.24146271930384944
2010-12-17,1244449.956459999,0.0024062238113986556,0.244449956460002
2010-12-18,1251521.7347018719,0.005682653774193858,0.2515217347018748
2010-12-19,1251521.7347018719,0.0,0.2515217347018748
2010-12-20,1251521.7347018719,0.0,0.2515217347018748
2010-12-21,1246836.693170309,-0.0037434759634269454,0.24683669317031187
2010-12-22,1294362.3545931578,0.03811698972541944,0.2943623545931606
2010-12-23,1308173.285689056,0.01067006549355276,0.3081732856890589
2010-12-24,1296728.1580406427,-0.008748938518786997,0.2967281580406458
2010-12-25,1296728.1580406427,0.0,0.2967281580406458
2010-12-26,1296728.1580406427,0.0,0.2967281580406458
2010-12-27,1296728.1580406427,0.0,0.2967281580406458
2010-12-28,1299713.0974074602,0.002301900632224907,0.2997130974074633
2010-12-29,1295589.0765538812,-0.0031730240018394973,0.2955890765538842
2010-12-30,1296705.038780272,0.0008613550751439547,0.296705038780275
2010-12-31,1299783.424210012,0.002374005913199584,0.299783424210015
2011-01-01,1334504.9967810512,0.02671335233571126,0.3345049967810545
2011-01-02,1334504.9967810512,0.0,0.3345049967810545
2011-01-03,1334504.9967810512,0.0,0.3345049967810545
2011-01-04,1370463.3605609536,0.026945094897836475,0.3704633605609571
2011-01-05,1366274.4428711534,-0.003056570361783084,0.36627444287115685
2011-01-06,1469119.9597914815,0.07527442049212585,0.46911995979148524
2011-01-07,1668405.1643298268,0.13564937513110276,0.668405164329831
2011-01-08,1714165.9527341723,0.027427863077088332,0.7141659527341766
2011-01-09,1714165.9527341723,0.0,0.7141659527341766
2011-01-10,1714165.9527341723,0.0,0.7141659527341766
2011-01-11,1778258.4000781178,0.03738987304100583,0.7782584000781223
2011-01-12,1751294.04301399,-0.015163351435845018,0.7512940430139943
2011-01-13,2009102.9884745479,0.1472105421068337,1.0091029884745528
2011-01-14,2012429.7979064584,0.0016558680421039362,1.0124297979064631
2011-01-15,2029561.6502078176,0.008513018600291744,1.0295616502078224
2011-01-16,2029561.6502078176,0.0,1.0295616502078224
2011-01-17,2029561.6502078176,0.0,1.0295616502078224
2011-01-18,2029561.6502078176,0.0,1.0295616502078224
2011-01-19,1982999.3947934508,-0.022942025638688524,0.9829993947934557
2011-01-20,1929046.1936072707,-0.027207875770330125,0.9290461936072756
2011-01-21,1930665.5790107846,0.0008394746631161798,0.9306655790107896
2011-01-22,1912821.5987624526,-0.009242398291202103,0.9128215987624575
2011-01-23,1912821.5987624526,0.0,0.9128215987624575
2011-01-24,1912821.5987624526,0.0,0.9128215987624575
2011-01-25,2126045.295522988,0.11147077014316742,1.1260452955229936
2011-01-26,2062238.48501271,-0.03001197135575695,1.0622384850127156
2011-01-27,2110329.2068639398,0.02331967044584249,1.1103292068639457
2011-01-28,2104431.8968825936,-0.002794497636750215,1.1044318968825992
2011-01-29,2043539.410353601,-0.028935356197174134,1.0435394103536062
2011-01-30,2043539.410353601,0.0,1.0435394103536062
2011-01-31,2043539.410353601,0.0,1.0435394103536062
2011-02-01,2057581.2690625787,0.006871342259334279,1.057581269062584
2011-02-02,2104302.2644657493,0.0227067557941254,1.1043022644657547
2011-02-03,2196837.0053011775,0.04397407273565879,1.1968370053011834
2011-02-04,2158079.4345882535,-0.01764244257511971,1.1580794345882595
2011-02-05,2205820.781045139,0.022122145131323157,1.2058207810451447
2011-02-06,2205820.781045139,0.0,1.2058207810451447
2011-02-07,2205820.781045139,0.0,1.2058207810451447
2011-02-08,2117061.191670716,-0.040238803685749946,1.1170611916707216
2011-02-09,2056412.3323798776,-0.02864766475785052,1.056412332379883
2011-02-10,2008515.5420500636,-0.023291433131206296,1.0085155420500689
2011-02-11,1958504.9349880815,-0.02489928806372943,0.9585049349880865
2011-02-12,2011600.5181624293,0.027110262642596306,1.0116005181624343
2011-02-13,2011600.5181624293,0.0,1.0116005181624343
2011-02-14,2011600.5181624293,0.0,1.0116005181624343
2011-02-15,1981761.4887915254,-0.014833476677646451,0.9817614887915305
2011-02-16,1935345.342223227,-0.023421661401142102,0.9353453422232321
2011-02-17,2004141.454898417,0.035547202441999604,1.0041414548984222
2011-02-18,2194778.820114076,0.09512171146887538,1.1947788201140819
2011-02-19,2190635.9146214128,-0.0018876186769690717,1.1906359146214185
2011-02-20,2190635.9146214128,0.0,1.1906359146214185
2011-02-21,2190635.9146214128,0.0,1.1906359146214185
2011-02-22,2190635.9146214128,0.0,1.1906359146214185
2011-02-23,1990050.6108389497,-0.09156487504092092,0.9900506108389548
2011-02-24,1898875.411839068,-0.04581551770758474,0.8988754118390729
2011-02-25,1943634.0933044553,0.02357115226534967,0.9436340933044602
2011-02-26,1982590.487492621,0.02004307000086336,0.9825904874926261
2011-02-27,1982590.487492621,0.0,0.9825904874926261
2011-02-28,1982590.487492621,0.0,0.9825904874926261
2011-03-01,1952501.8827232122,-0.015176409328717,0.9525018827232175
2011-03-02,1882136.5340732634,-0.03603855610720752,0.8821365340732685
2011-03-03,1819364.0549034774,-0.033351713881211165,0.8193640549034824
2011-03-04,1831316.6598046124,0.006569660903721131,0.8313166598046173
2011-03-05,1828465.214449346,-0.001557046587219113,0.828465214449351
2011-03-06,1828465.214449346,0.0,0.828465214449351
2011-03-07,1828465.214449346,0.0,0.828465214449351
2011-03-08,1806631.1826014817,-0.011941179780354694,0.8066311826014865
2011-03-09,1739491.7996259332,-0.03716274999685898,0.7394917996259378
2011-03-10,1710619.7531903088,-0.016597977893217486,0.7106197531903133
2011-03-11,1616697.1233542562,-0.05490561514964787,0.6166971233542604
2011-03-12,1626612.6991725862,0.006133230321927918,0.6266126991725904
2011-03-13,1626612.6991725862,0.0,0.6266126991725904
2011-03-14,1626612.6991725862,0.0,0.6266126991725904
2011-03-15,1628419.5805763006,0.0011108246017219603,0.6284195805763046
2011-03-16,1584401.346144557,-0.02703126083522378,0.5844013461445607
2011-03-17,1571643.4562234282,-0.008052183212399755,0.571643456223432
2011-03-18,1594348.3256828785,0.01444657779698244,0.5943483256828823
2011-03-19,1579953.0215371847,-0.009028958047500701,0.5799530215371886
2011-03-20,1579953.0215371847,0.0,0.5799530215371886
2011-03-21,1579953.0215371847,0.0,0.5799530215371886
2011-03-22,1589264.6602339745,0.005893617449289845,0.5892646602339784
2011-03-23,1562653.9571782649,-0.016744034975138655,0.5626539571782687
2011-03-24,1589009.306334287,0.01686576163260911,0.5890093063342907
2011-03-25,1688268.5021061897,0.06246608838363921,0.6882685021061938
2011-03-26,1649728.0309537053,-0.022828401468370396,0.6497280309537092
2011-03-27,1649728.0309537053,0.0,0.6497280309537092
2011-03-28,1649728.0309537053,0.0,0.6497280309537092
2011-03-29,1702396.7159229517,0.03192567743350927,0.7023967159229558
2011-03-30,1700592.2203076184,-0.001059973623336652,0.7005922203076225
2011-03-31,1647259.9180124998,-0.031361017449245576,0.6472599180125038
2011-04-01,1675424.0870364904,0.017097586553293853,0.6754240870364943
2011-04-02,1647595.725806594,-0.016609741644051268,0.6475957258065976
2011-04-03,1647595.725806594,0.0,0.6475957258065976
2011-04-04,1647595.725806594,0.0,0.6475957258065976
2011-04-05,1592822.2668937445,-0.03324447742545256,0.5928222668937482
