Date,PortfolioValue,PortfolioReturn
2010-01-05,1000000.0,
2010-01-06,1000000.0,0.0
2010-01-07,1000000.0,0.0
2010-01-08,1000000.0,0.0
2010-01-09,1000000.0,0.0
2010-01-10,1000000.0,0.0
2010-01-11,1000000.0,0.0
2010-01-12,1000000.0,0.0
2010-01-13,1000000.0,0.0
2010-01-14,1000000.0,0.0
2010-01-15,1000000.0,0.0
2010-01-16,1000000.0,0.0
2010-01-17,1000000.0,0.0
2010-01-18,1000000.0,0.0
2010-01-19,1000000.0,0.0
2010-01-20,1000000.0,0.0
2010-01-21,1000000.0,0.0
2010-01-22,1000000.0,0.0
2010-01-23,1000000.0,0.0
2010-01-24,1000000.0,0.0
2010-01-25,1000000.0,0.0
2010-01-26,1000000.0,0.0
2010-01-27,1000000.0,0.0
2010-01-28,1000000.0,0.0
2010-01-29,1000000.0,0.0
2010-01-30,963218.4614088833,-0.03678153859111666
2010-01-31,963218.4614088833,0.0
2010-02-01,963218.4614088833,0.0
2010-02-02,1003904.5400700569,0.04223972057352676
2010-02-03,1013212.9575974643,0.009272213797098416
2010-02-04,1023597.2004604042,0.010248825565321473
2010-02-05,975805.4498624504,-0.046689997370506164
2010-02-06,993102.199254632,0.017725612615321795
2010-02-07,993102.199254632,0.0
2010-02-08,993102.199254632,0.0
2010-02-09,990044.7686420977,-0.0030786666415894004
2010-02-10,991888.3860512078,0.0018621555989217775
2010-02-11,998956.8017511964,0.007126220852457621
2010-02-12,1033764.8410164416,0.03484438887069574
2010-02-13,1043776.7430764735,0.009684893181497456
2010-02-14,1043776.7430764735,0.0
2010-02-15,1043776.7430764735,0.0
2010-02-16,1043776.7430764735,0.0
2010-02-17,1063068.0753642619,0.01848224001516674
2010-02-18,1066514.475999564,0.003241937854375987
2010-02-19,1031990.2199998796,-0.03237110866903836
2010-02-20,1028173.9417006075,-0.0036979791332446554
2010-02-21,1028173.9417006075,0.0
2010-02-22,1028173.9417006075,0.0
2010-02-23,1024033.349246949,-0.004027132264031175
2010-02-24,1003234.8124599457,-0.02031040961927466
2010-02-25,1021147.4396633804,0.01785487004733488
2010-02-26,1020439.4967416525,-0.0006932817869682584
2010-02-27,1010377.0693250299,-0.009860876072273594
2010-02-28,1010377.0693250299,0.0
2010-03-01,1010377.0693250299,0.0
2010-03-02,1050122.8087128997,0.039337531100563705
2010-03-03,1049141.8638404608,-0.0009341239560745063
2010-03-04,1036817.8742610514,-0.011746733215178828
2010-03-05,1039206.4580053985,0.0023037640492544753
2010-03-06,1070363.8736350536,0.029981930336977713
2010-03-07,1070363.8736350536,0.0
2010-03-08,1070363.8736350536,0.0
2010-03-09,1056959.1040178537,-0.012523563198817644
2010-03-10,1094198.6878295839,0.03523275751178079
2010-03-11,1097753.9195510745,0.0032491646727732526
2010-03-12,1075559.3137100637,-0.020218197763381518
2010-03-13,1078663.6262687147,0.002886230930345235
2010-03-14,1078663.6262687147,0.0
2010-03-15,1078663.6262687147,0.0
2010-03-16,1072488.3610607088,-0.005724922077299688
2010-03-17,1106792.0171162486,0.03198510799838705
2010-03-18,1125846.9468530416,0.017216359932230807
2010-03-19,1090033.4456756413,-0.031810275168845936
2010-03-20,1077419.986939758,-0.011571625426653687
2010-03-21,1077419.986939758,0.0
2010-03-22,1077419.986939758,0.0
2010-03-23,1095202.7519818544,0.016504951882882368
2010-03-24,1116609.557137221,0.019545974584732617
2010-03-25,1083088.549273014,-0.030020348339260705
2010-03-26,1085562.1734275818,0.0022838614222522313
2010-03-27,1087410.0119524002,0.0017021950193640834
2010-03-28,1087410.0119524002,0.0
2010-03-29,1087410.0119524002,0.0
2010-03-30,1100017.2582781613,0.011593829546525214
2010-03-31,1105718.219558984,0.0051826107617132244
2010-04-01,1091261.7333752513,-0.013074294994884661
2010-04-02,1080157.4602442682,-0.01017562770815561
2010-04-03,1080157.4602442682,0.0
2010-04-04,1080157.4602442682,0.0
2010-04-05,1080157.4602442682,0.0
2010-04-06,1096819.5767934322,0.015425636689484268
2010-04-07,1070327.2546181083,-0.02415376488152654
2010-04-08,1076850.3901483715,0.006094524363570164
2010-04-09,1059590.5057471693,-0.01602811733097309
2010-04-10,1066500.5464801192,0.00652142567857128
2010-04-11,1066500.5464801192,0.0
2010-04-12,1066500.5464801192,0.0
2010-04-13,1085892.2466875017,0.01818255065258323
2010-04-14,1108622.6304808557,0.020932448742214227
2010-04-15,1122444.2731871903,0.012467400832634645
2010-04-16,1130478.952637732,0.007158198979203778
2010-04-17,1071127.5839353502,-0.05250108245173257
2010-04-18,1071127.5839353502,0.0
2010-04-19,1071127.5839353502,0.0
2010-04-20,1066094.6219515204,-0.004698751165886805
2010-04-21,1070042.0155143142,0.0037026671756095197
2010-04-22,1042609.0736712813,-0.025637256710753786
2010-04-23,1048185.4647447765,0.005348496588332363
2010-04-24,1033802.6073771119,-0.013721672214913494
2010-04-25,1033802.6073771119,0.0
2010-04-26,1033802.6073771119,0.0
2010-04-27,1044546.4454974532,0.010392543067384796
2010-04-28,1014694.2544951439,-0.028579093951243695
2010-04-29,1016319.3135715127,0.0016015258479780137
2010-04-30,1047205.548356086,0.030390286174956094
2010-05-01,988147.5826566517,-0.056395772341107375
2010-05-02,988147.5826566517,0.0
2010-05-03,988147.5826566517,0.0
2010-05-04,977624.2606323063,-0.010649544874717254
2010-05-05,928029.1849513352,-0.05073020144661111
2010-05-06,927983.1775708497,-4.95753595162185e-05
2010-05-07,927931.8774838746,-5.528126825460333e-05
2010-05-08,927692.4777121842,-0.00025799283061545
